sentence_id,audio_file_name,audio_absolute_path,audio_created_at,current_english_sentence,current_persian_translation,stored_audio_source_text,historical_source_text,evidence_method,historical_candidate_count,snapshot_commit,snapshot_created_at,snapshot_delay_minutes,local_sentence_url,difference_percent,priority,risk_level,review_status,qa_score
386,s__386__sentence_en_meaning_fa__1770435198559.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__386__sentence_en_meaning_fa__1770435198559.mp3,2026-02-07T03:33:18.559Z,I need to vacuum the rug before guests arrive.,باید فرش را جارو برقی بکشم قبل از اینکه مهمان‌ها برسند.,باید فرش را جارو برقی بکشم قبل از اینکه مهمان‌ها برسند.,قبل از رسیدن مهمان‌ها باید قالی را جاروبرقی بکشم.,unique_legacy_word_with_same_english_sentence,1,f950377b3,2026-02-07T05:07:36.025Z,94.3,http://localhost:3000/words/tables/sentences?ids=386,86,1,very_high,historical_text_differs_from_current_text,9.2
361,s__361__sentence_en_meaning_fa__1770435195641.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__361__sentence_en_meaning_fa__1770435195641.mp3,2026-02-07T03:33:15.641Z,Hold the wood with a clamp while it dries.,چوب را با گیره ثابت نگه دار تا خشک شود.,چوب را با گیره ثابت نگه دار تا خشک شود.,وقتی خشک می‌شود، چوب را با گیره نگه دار.,unique_legacy_word_with_same_english_sentence,1,f950377b3,2026-02-07T05:07:36.025Z,94.3,http://localhost:3000/words/tables/sentences?ids=361,82.8,1,very_high,historical_text_differs_from_current_text,9.2
354,s__354__sentence_en_meaning_fa__1770435194841.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__354__sentence_en_meaning_fa__1770435194841.mp3,2026-02-07T03:33:14.841Z,Use a mallet to tap it into place.,از چکش چوبی استفاده کن تا آن را در جای خود ضربه بزنی.,از چکش چوبی استفاده کن تا آن را در جای خود ضربه بزنی.,برای جا انداختنش از چکش لاستیکی استفاده کن.,unique_legacy_word_with_same_english_sentence,1,f950377b3,2026-02-07T05:07:36.025Z,94.4,http://localhost:3000/words/tables/sentences?ids=354,82.5,1,very_high,historical_text_differs_from_current_text,9.2
129,s__129__sentence_en_meaning_fa__1770435168034.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__129__sentence_en_meaning_fa__1770435168034.mp3,2026-02-07T03:32:48.034Z,Use a protractor to measure that angle.,از یک نقاله استفاده کن تا آن زاویه را اندازه بگیری.,از یک نقاله استفاده کن تا آن زاویه را اندازه بگیری.,برای اندازه‌گیری آن زاویه از زاویه سنج استفاده کن.,unique_legacy_word_with_same_english_sentence,1,f950377b3,2026-02-07T05:07:36.025Z,94.8,http://localhost:3000/words/tables/sentences?ids=129,77.5,1,very_high,historical_text_differs_from_current_text,9.2
3570,s__3570__sentence_en_meaning_fa__1776139396477.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__3570__sentence_en_meaning_fa__1776139396477.mp3,2026-04-14T04:03:16.477Z,The server fetches the tenant settings before rendering the page.,سرور پیش از رندر کردن صفحه تنظیمات مستاجر را دریافت می کند.,سرور پیش از رندر کردن صفحه تنظیمات مستاجر را دریافت می کند.,تابع دریافت کردن داده کاربر را از API انجام می‌دهد.,sentence_id_in_first_snapshot_after_audio,0,e39b0ac18,2026-04-14T06:07:17.662Z,124,http://localhost:3000/words/tables/sentences?ids=3570,76.6,1,very_high,historical_text_differs_from_current_text,9.6
298,s__298__sentence_en_meaning_fa__1770435188326.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__298__sentence_en_meaning_fa__1770435188326.mp3,2026-02-07T03:33:08.326Z,He wore shorts because it was ninety degrees.,او چون هوا نود درجه بود شلوارک پوشید.,او چون هوا نود درجه بود شلوارک پوشید.,او شلوارک پوشید چون هوا خیلی گرم بود.,unique_legacy_word_with_same_english_sentence,1,f950377b3,2026-02-07T05:07:36.025Z,94.5,http://localhost:3000/words/tables/sentences?ids=298,75.9,1,very_high,historical_text_differs_from_current_text,9.2
205,s__205__sentence_en_meaning_fa__1770435177138.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__205__sentence_en_meaning_fa__1770435177138.mp3,2026-02-07T03:32:57.138Z,We hopped on the tram to reach the museum.,ما برای رسیدن به موزه سریع سوار شدن تراموا شدیم.,ما برای رسیدن به موزه سریع سوار شدن تراموا شدیم.,ما سوار تراموا شدیم تا به موزه برسیم.,unique_legacy_word_with_same_english_sentence,1,f950377b3,2026-02-07T05:07:36.025Z,94.6,http://localhost:3000/words/tables/sentences?ids=205,73.7,1,very_high,historical_text_differs_from_current_text,9.2
177,s__177__sentence_en_meaning_fa__1770435173821.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__177__sentence_en_meaning_fa__1770435173821.mp3,2026-02-07T03:32:53.821Z,They drove toward the mountain as the sun set.,آنها به سمت کوه رانندگی کردند وقتی خورشید غروب کرد.,آنها به سمت کوه رانندگی کردند وقتی خورشید غروب کرد.,آنها وقتی خورشید غروب می‌کرد به سمت کوه رانندگی کردند.,unique_legacy_word_with_same_english_sentence,1,f950377b3,2026-02-07T05:07:36.025Z,94.7,http://localhost:3000/words/tables/sentences?ids=177,72.1,1,very_high,historical_text_differs_from_current_text,9.2
4075,s__4075__sentence_en_meaning_fa__1777872242370.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__4075__sentence_en_meaning_fa__1777872242370.mp3,2026-05-04T05:24:02.370Z,The compact view fits more rows on a small screen.,نمای فشرده ردیف های بیشتری را در یک صفحه کوچک جا می دهد.,نمای فشرده ردیف های بیشتری را در یک صفحه کوچک جا می دهد.,این دستگاه فشرده به‌راحتی در جیبتان جا می‌شود.,sentence_id_in_first_snapshot_after_audio,0,c4dd3abe8,2026-05-04T13:02:11.250Z,458.1,http://localhost:3000/words/tables/sentences?ids=4075,72.1,1,very_high,historical_text_differs_from_current_text,9.6
116,s__116__sentence_en_meaning_fa__1770435166505.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__116__sentence_en_meaning_fa__1770435166505.mp3,2026-02-07T03:32:46.505Z,She washed every dish after dinner.,او هر ظرف را بعد از شام شست.,او هر ظرف را بعد از شام شست.,او بعد از شام هر ظرفی را شست.,unique_legacy_word_with_same_english_sentence,1,f950377b3,2026-02-07T05:07:36.025Z,94.8,http://localhost:3000/words/tables/sentences?ids=116,71.4,1,very_high,historical_text_differs_from_current_text,9.2
