sentence_id,audio_file_name,audio_absolute_path,audio_created_at,current_english_sentence,current_persian_translation,stored_audio_source_text,historical_source_text,evidence_method,historical_candidate_count,snapshot_commit,snapshot_created_at,snapshot_delay_minutes,local_sentence_url,priority,review_status,qa_score
193,s__193__sentence_en_meaning_fa__1770435175766.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__193__sentence_en_meaning_fa__1770435175766.mp3,2026-02-07T03:32:55.766Z,She found a shell in the wet sand.,او یک صدف در شن خیس پیدا کرد.,او یک صدف در شن خیس پیدا کرد.,,,3,f950377b3,2026-02-07T05:07:36.025Z,94.7,http://localhost:3000/words/tables/sentences?ids=193,3,unresolved_historical_source,9
275,s__275__sentence_en_meaning_fa__1770435185457.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__275__sentence_en_meaning_fa__1770435185457.mp3,2026-02-07T03:33:05.457Z,She put her coat in the wardrobe.,او کت خود را در کمد لباس گذاشت.,او کت خود را در کمد لباس گذاشت.,,,0,f950377b3,2026-02-07T05:07:36.025Z,94.5,http://localhost:3000/words/tables/sentences?ids=275,3,unresolved_historical_source,9
406,s__406__sentence_en_meaning_fa__1770435200848.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__406__sentence_en_meaning_fa__1770435200848.mp3,2026-02-07T03:33:20.848Z,He pulled the blanket over his shoulders.,او پتو را روی شانه هایش کشید.,او پتو را روی شانه هایش کشید.,,,0,f950377b3,2026-02-07T05:07:36.025Z,94.3,http://localhost:3000/words/tables/sentences?ids=406,3,unresolved_historical_source,9
720,s__720__sentence_en_meaning_fa__1770435240554.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__720__sentence_en_meaning_fa__1770435240554.mp3,2026-02-07T03:34:00.554Z,The coffee shop is across the street.,کافی شاپ آن طرف خیابان است.,کافی شاپ آن طرف خیابان است.,,,0,f950377b3,2026-02-07T05:07:36.025Z,93.6,http://localhost:3000/words/tables/sentences?ids=720,3,unresolved_historical_source,9
776,s__776__sentence_en_meaning_fa__1770435247693.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__776__sentence_en_meaning_fa__1770435247693.mp3,2026-02-07T03:34:07.693Z,The pharmacy closes at nine tonight.,داروخانه امشب ساعت نه بسته می شود.,داروخانه امشب ساعت نه بسته می شود.,,,0,f950377b3,2026-02-07T05:07:36.025Z,93.5,http://localhost:3000/words/tables/sentences?ids=776,3,unresolved_historical_source,9
851,s__851__sentence_en_meaning_fa__1770435257153.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__851__sentence_en_meaning_fa__1770435257153.mp3,2026-02-07T03:34:17.153Z,We crossed the desert with extra water and snacks.,ما از بیابان با آب و خوراکیِ اضافه عبور کردیم.,ما از بیابان با آب و خوراکیِ اضافه عبور کردیم.,,,2,f950377b3,2026-02-07T05:07:36.025Z,93.3,http://localhost:3000/words/tables/sentences?ids=851,3,unresolved_historical_source,9
907,s__907__sentence_en_meaning_fa__1770435264090.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__907__sentence_en_meaning_fa__1770435264090.mp3,2026-02-07T03:34:24.090Z,The goat lowered its horn and backed away.,بز شاخش را پایین آورد و عقب رفت.,بز شاخش را پایین آورد و عقب رفت.,,,2,f950377b3,2026-02-07T05:07:36.025Z,93.2,http://localhost:3000/words/tables/sentences?ids=907,3,unresolved_historical_source,9
1012,s__1012__sentence_en_meaning_fa__1770435277303.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1012__sentence_en_meaning_fa__1770435277303.mp3,2026-02-07T03:34:37.303Z,We cut up a melon and put it in the fridge.,ما یک خربزه را خرد کردیم و داخل یخچال گذاشتیم.,ما یک خربزه را خرد کردیم و داخل یخچال گذاشتیم.,,,2,f950377b3,2026-02-07T05:07:36.025Z,93,http://localhost:3000/words/tables/sentences?ids=1012,3,unresolved_historical_source,9
1047,s__1047__sentence_en_meaning_fa__1770435281978.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1047__sentence_en_meaning_fa__1770435281978.mp3,2026-02-07T03:34:41.978Z,We saw a donkey on a farm tour.,ما در یک تور مزرعه یک خر دیدیم.,ما در یک تور مزرعه یک خر دیدیم.,,,2,f950377b3,2026-02-07T05:07:36.025Z,92.9,http://localhost:3000/words/tables/sentences?ids=1047,3,unresolved_historical_source,9
1113,s__1113__sentence_en_meaning_fa__1770435291133.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1113__sentence_en_meaning_fa__1770435291133.mp3,2026-02-07T03:34:51.133Z,We saw an octopus hiding in a tank at the aquarium.,ما یک اختاپوس را دیدیم که در یک مخزن در آکواریوم پنهان شده بود.,ما یک اختاپوس را دیدیم که در یک مخزن در آکواریوم پنهان شده بود.,,,2,f950377b3,2026-02-07T05:07:36.025Z,92.7,http://localhost:3000/words/tables/sentences?ids=1113,3,unresolved_historical_source,9
1189,s__1189__sentence_en_meaning_fa__1773722577444.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1189__sentence_en_meaning_fa__1773722577444.mp3,2026-03-17T04:42:57.444Z,My phone rang during the meeting.,آیفون من در طول جلسه زنگ خورد.,آیفون من در طول جلسه زنگ خورد.,,,2,6ecfc4dff,2026-03-18T18:19:05.842Z,2256.1,http://localhost:3000/words/tables/sentences?ids=1189,3,unresolved_historical_source,9
1270,s__1270__sentence_en_meaning_fa__1773722642473.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1270__sentence_en_meaning_fa__1773722642473.mp3,2026-03-17T04:44:02.473Z,She added fresh garlic to the pasta sauce.,او سیر تازه به سس پاستا اضافه کرد.,او سیر تازه به سس پاستا اضافه کرد.,,,0,6ecfc4dff,2026-03-18T18:19:05.842Z,2255.1,http://localhost:3000/words/tables/sentences?ids=1270,3,unresolved_historical_source,9
1804,s__1804__sentence_en_meaning_fa__1775591799842.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1804__sentence_en_meaning_fa__1775591799842.mp3,2026-04-07T19:56:39.842Z,I look forward to the weekend after a long week.,من بعد از یک هفتهٔ طولانی بی صبرانه در انتظار چیزی بودن آخر هفته هستم.,من بعد از یک هفتهٔ طولانی بی صبرانه در انتظار چیزی بودن آخر هفته هستم.,,,0,e5b094cac,2026-04-07T20:40:58.735Z,44.3,http://localhost:3000/words/tables/sentences?ids=1804,3,unresolved_historical_source,9
1805,s__1805__sentence_en_meaning_fa__1775591800633.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1805__sentence_en_meaning_fa__1775591800633.mp3,2026-04-07T19:56:40.633Z,They mocked him for his unusual outfit at the party.,آن‌ها او را به خاطر لباس عجیبش در مهمانی مسخره کردن کردند.,آن‌ها او را به خاطر لباس عجیبش در مهمانی مسخره کردن کردند.,,,0,e5b094cac,2026-04-07T20:40:58.735Z,44.3,http://localhost:3000/words/tables/sentences?ids=1805,3,unresolved_historical_source,9
1806,s__1806__sentence_en_meaning_fa__1775591801119.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1806__sentence_en_meaning_fa__1775591801119.mp3,2026-04-07T19:56:41.119Z,The kitchen was a complete mess after cooking dinner.,آشپزخانه بعد از پخت شام کاملاً به هم ریختگی بود.,آشپزخانه بعد از پخت شام کاملاً به هم ریختگی بود.,,,0,e5b094cac,2026-04-07T20:40:58.735Z,44.3,http://localhost:3000/words/tables/sentences?ids=1806,3,unresolved_historical_source,9
1807,s__1807__sentence_en_meaning_fa__1775591801816.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1807__sentence_en_meaning_fa__1775591801816.mp3,2026-04-07T19:56:41.816Z,I'll ask around to see if anyone knows a good mechanic.,من پرس وجو کردن می‌کنم تا ببینم کسی مکانیک خوبی می‌شناسد یا نه.,من پرس وجو کردن می‌کنم تا ببینم کسی مکانیک خوبی می‌شناسد یا نه.,,,0,e5b094cac,2026-04-07T20:40:58.735Z,44.3,http://localhost:3000/words/tables/sentences?ids=1807,3,unresolved_historical_source,9
1808,s__1808__sentence_en_meaning_fa__1775591802370.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1808__sentence_en_meaning_fa__1775591802370.mp3,2026-04-07T19:56:42.370Z,She asked her coworkers round for dinner on Friday.,او همکارانش را برای شام جمعه به خانه خود دعوت کردن کرد.,او همکارانش را برای شام جمعه به خانه خود دعوت کردن کرد.,,,0,e5b094cac,2026-04-07T20:40:58.735Z,44.3,http://localhost:3000/words/tables/sentences?ids=1808,3,unresolved_historical_source,9
1809,s__1809__sentence_en_meaning_fa__1775591802893.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1809__sentence_en_meaning_fa__1775591802893.mp3,2026-04-07T19:56:42.893Z,He finally asked her out after weeks of talking.,او بالاخره بعد از هفته‌ها صحبت او را به قرار عاشقانه دعوت کردن کرد.,او بالاخره بعد از هفته‌ها صحبت او را به قرار عاشقانه دعوت کردن کرد.,,,0,e5b094cac,2026-04-07T20:40:58.735Z,44.3,http://localhost:3000/words/tables/sentences?ids=1809,3,unresolved_historical_source,9
1810,s__1810__sentence_en_meaning_fa__1775591803489.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1810__sentence_en_meaning_fa__1775591803489.mp3,2026-04-07T19:56:43.489Z,A strange smell emanated from the old refrigerator.,یک بوی عجیب از یخچال قدیمی ساطع شدن کرد.,یک بوی عجیب از یخچال قدیمی ساطع شدن کرد.,,,0,e5b094cac,2026-04-07T20:40:58.735Z,44.3,http://localhost:3000/words/tables/sentences?ids=1810,3,unresolved_historical_source,9
1811,s__1811__sentence_en_meaning_fa__1775591803889.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1811__sentence_en_meaning_fa__1775591803889.mp3,2026-04-07T19:56:43.889Z,They bought ten acres of land outside the city.,آن‌ها ده جریب زمین در خارج از شهر خریدند.,آن‌ها ده جریب زمین در خارج از شهر خریدند.,,,0,e5b094cac,2026-04-07T20:40:58.735Z,44.2,http://localhost:3000/words/tables/sentences?ids=1811,3,unresolved_historical_source,9
1812,s__1812__sentence_en_meaning_fa__1775591804550.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1812__sentence_en_meaning_fa__1775591804550.mp3,2026-04-07T19:56:44.550Z,We need to discuss the plan before making a decision.,ما باید قبل از تصمیم‌گیری دربارهٔ طرح بحث کردن درباره کنیم.,ما باید قبل از تصمیم‌گیری دربارهٔ طرح بحث کردن درباره کنیم.,,,0,e5b094cac,2026-04-07T20:40:58.735Z,44.2,http://localhost:3000/words/tables/sentences?ids=1812,3,unresolved_historical_source,9
1813,s__1813__sentence_en_meaning_fa__1775591805099.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1813__sentence_en_meaning_fa__1775591805099.mp3,2026-04-07T19:56:45.099Z,He spread compost over the garden beds in spring.,او در بهار کود را روی بسترهای باغ پخش کرد.,او در بهار کود را روی بسترهای باغ پخش کرد.,,,0,e5b094cac,2026-04-07T20:40:58.735Z,44.2,http://localhost:3000/words/tables/sentences?ids=1813,3,unresolved_historical_source,9
1814,s__1814__sentence_en_meaning_fa__1775591805560.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1814__sentence_en_meaning_fa__1775591805560.mp3,2026-04-07T19:56:45.560Z,The report delves into the causes of the issue.,گزارش به علل مسئله کاوش کردن می‌کند.,گزارش به علل مسئله کاوش کردن می‌کند.,,,0,e5b094cac,2026-04-07T20:40:58.735Z,44.2,http://localhost:3000/words/tables/sentences?ids=1814,3,unresolved_historical_source,9
1815,s__1815__sentence_en_meaning_fa__1775591805844.mp3,/Users/seyedbehrangkaboudi/Personal-Local/Projects/NextJS/Anki/public/audio/sentences/s__1815__sentence_en_meaning_fa__1775591805844.mp3,2026-04-07T19:56:45.844Z,She delved into the data to find useful patterns.,او داده‌ها را عمیق بررسی کردن کرد تا الگوهای مفید پیدا کند.,او داده‌ها را عمیق بررسی کردن کرد تا الگوهای مفید پیدا کند.,,,0,e5b094cac,2026-04-07T20:40:58.735Z,44.2,http://localhost:3000/words/tables/sentences?ids=1815,3,unresolved_historical_source,9
